|        COST |             DEV NAME |     SOCKET |   FAM PROC | CORES |     I CORE | GAME |  R YEAR | R TYPE |   CPU HZ |     TDP | PCI
| 1018967руб. |          Processor_1 |  SK-550015 |        AMD |    22 |    AMD-168 |  yes |  2007г. |  DDR77 | 26667√√ц |   181¬т | yes
| 6989633руб. |          Processor_2 |  SK-591654 |      INTEL |     3 |  INTEL-875 |  yes |  2000г. |  DDR38 | 26253√√ц |   847¬т | yes
| 6336418руб. |          Processor_3 |  SK-763603 |      INTEL |    98 |  INTEL-368 |  yes |  2020г. |  DDR21 | 59591√√ц |  1235¬т | yes
| 9673467руб. |          Processor_4 |  SK-169860 |      INTEL |    90 |  INTEL-569 |   no |  2023г. | DDSR11 | 58993√√ц |   277¬т | yes
| 7981111руб. |          Processor_5 |  SK-809341 |      INTEL |    85 |  INTEL-811 |   no |  2000г. |  DDR98 | 30937√√ц |  1461¬т | yes
| 5772326руб. |          Processor_6 |  SK-983796 |        AMD |    28 |     AMD-52 |  yes |  2014г. | DDSR47 | 61511√√ц |  1466¬т | yes
| 6619473руб. |          Processor_7 |  SK-150245 |      INTEL |    44 |  INTEL-484 |  yes |  2001г. |   DDR2 | 31539√√ц |  1127¬т |  no
| 3312906руб. |          Processor_8 |  SK-287104 |        AMD |    75 |    AMD-308 |  yes |  2007г. |   DDR6 | 35732√√ц |  1099¬т | yes
| 7185865руб. |          Processor_9 |  SK-437285 |      INTEL |    49 |  INTEL-863 |   no |  2016г. |  DDR57 | 99376√√ц |  1318¬т | yes
| 7338527руб. |         Processor_10 |  SK-149812 |        AMD |    34 |    AMD-749 |   no |  2019г. |  DDR73 | 56695√√ц |   997¬т | yes
| 8967468руб. |         Processor_11 |  SK-621630 |      INTEL |    69 |  INTEL-492 |   no |  2007г. |  DDR68 | 64313√√ц |  1020¬т | yes
|  574212руб. |         Processor_12 |   SK-11738 |      INTEL |    44 |  INTEL-136 |  yes |  2003г. | DDSR75 | 85211√√ц |  1111¬т |  no
| 6225538руб. |         Processor_13 |  SK-914498 |        AMD |     4 |    AMD-532 |  yes |  2018г. | DDSR61 | 15558√√ц |    44¬т |  no
| 7331546руб. |         Processor_14 |  SK-697459 |        AMD |    11 |    AMD-809 |  yes |  2020г. |  DDSR3 | 27940√√ц |  1044¬т |  no
|  813848руб. |         Processor_15 |  SK-455634 |        AMD |     8 |     AMD-68 |   no |  2006г. | DDSR19 | 41618√√ц |  1494¬т |  no
| 5441778руб. |         Processor_16 |  SK-481042 |      INTEL |    37 |  INTEL-609 |   no |  2022г. |  DDR32 | 27850√√ц |  1491¬т |  no
| 1195562руб. |         Processor_17 |  SK-824951 |      INTEL |    77 |    INTEL-6 |   no |  2009г. |  DDR54 | 47218√√ц |  1430¬т | yes
| 5182931руб. |         Processor_18 |  SK-911913 |      INTEL |    92 |  INTEL-768 |  yes |  2018г. |  DDR34 | 62609√√ц |   219¬т | yes
